Variable,Tipo,Disponibles,Faltantes,% faltante,Primer dato,Último dato
Quarter_End,datetime64[us],48,0,0.0,2014-03-31,2025-12-31
Year,int64,48,0,0.0,2014-03-31,2025-12-31
Quarter,str,48,0,0.0,2014-03-31,2025-12-31
Revenue_CAD_m,int64,48,0,0.0,2014-03-31,2025-12-31
Net_Income_CAD_m,int64,48,0,0.0,2014-03-31,2025-12-31
EPS_CAD,float64,48,0,0.0,2014-03-31,2025-12-31
Total_Assets_CAD_m,float64,40,8,0.16666666666666666,2014-03-31,2024-12-31
Long_Term_Debt_CAD_m,float64,40,8,0.16666666666666666,2014-03-31,2024-12-31
Units,str,48,0,0.0,2014-03-31,2025-12-31
Source_URL,str,48,0,0.0,2014-03-31,2025-12-31
Revenue_QoQ,float64,47,1,0.020833333333333332,2014-06-30,2025-12-31
Revenue_YoY,float64,44,4,0.08333333333333333,2015-03-31,2025-12-31
NetIncome_YoY,float64,44,4,0.08333333333333333,2015-03-31,2025-12-31
Revenue_MA4,float64,44,4,0.08333333333333333,2015-03-31,2025-12-31
